team_key,team_name,team_country,team_founded,league_id,team_id,overall_league_position
3429,Crystal Palace,England,1861,152,3429,10
3089,Nottingham Forest,England,1865,152,3089,19
3088,Aston Villa,England,1874,152,3088,6
3077,Wolverhampton Wanderers,England,1877,152,3077,20
102,Manchester United,England,1878,152,102,7
3073,Everton,England,1878,152,3073,13
3085,Fulham,England,1879,152,3085,15
3111,Sunderland,England,1879,152,3111,4
80,Manchester City,England,1880,152,80,2
164,Tottenham Hotspur,England,1882,152,164,5
3075,Burnley,England,1882,152,3075,17
141,Arsenal FC,England,1886,152,141,1
3086,Brentford,England,1889,152,3086,12
84,Liverpool,England,1892,152,84,8
3100,Newcastle United,England,1892,152,3100,14
3081,West Ham United,England,1895,152,3081,18
3071,AFC Bournemouth,England,1899,152,3071,9
3079,Brighton & Hove Albion,England,1901,152,3079,11
88,Chelsea,England,1905,152,88,3
3103,Leeds United,England,1919,152,3103,16
